glom,1-butanol,1-hexanol,1-pentanol,"2,3-butanedione",2-heptanone,2-octanone,3-methylthio-1-propanol,3-octanol,4-methylcyclohexanol,4-methylphenol,E2-hexenal,Z3-hexenol,benzaldehyde,butyric acid,cyclohexanone,ethanol,ethyl acetate,ethyl butyrate,ethyl lactate,gamma-valerolactone,geranyl acetate,hexyl acetate,isopentyl acetate,methyl salicylate,octanal,pentyl acetate
DA1,0.013125,0.26261,0.40231,0.11847,0.12494000000000001,0.23842,0.022353,0.32550999999999997,0.033549,0.278,0.14407,0.44687,0.0827,0.037630000000000004,0.017822,-0.017078,0.05442999999999999,0.18179,0.065697,0.047699,-0.012529,0.049392,0.15387,0.057775,-0.025157,0.1106
VC5,0.00091788,0.09727999999999999,0.08679500000000001,-0.069228,0.047577999999999995,0.30577,0.036361000000000004,0.072905,0.10329,-0.060527,0.07309600000000001,0.061876,0.043602999999999996,0.14346,0.010027,-0.009338200000000001,-0.033875,0.036181,0.006574600000000001,0.042173,0.02016,0.024824000000000002,0.06192,0.14346,-0.007973300000000001,-0.05242
VA1v,-0.064722,-0.12358,-0.087975,-0.007973300000000001,-0.012529,-0.051240999999999995,-0.067914,-0.059628,0.011426,0.033673,0.056652999999999995,-0.092939,-0.06890800000000001,-0.071287,-0.0039455,-0.055917999999999995,-0.0057838,-0.039663,-0.074891,-0.05753099999999999,0.0082786,-0.08530399999999999,-0.16233,0.048857,-0.15747,-0.063539
VA1d,-6.6901e-05,0.032494999999999996,0.016506,0.023024,0.039313,0.14215,0.0040764,-0.0063583,-0.048293,-0.035128,-0.016936,-0.033213,-0.006281800000000001,-0.0042102,0.0052116,-0.024927,0.010801,-0.018446,-0.014568000000000001,0.04395,0.0020814,0.006148,-0.0021385,-0.014588999999999998,-0.021208,0.018476
VA2,-0.014241,0.043886,0.55086,0.68879,-0.0043108,-0.020998,-0.014241,-0.019173,-0.018813,-0.017218,0.077517,-0.018147,0.0079029,-0.017078,-0.021242,-0.051261,0.12544,0.13522,0.019391,0.23696,0.011322,-0.022113,-0.014241,-0.0026768,-0.025157,0.02858
VA6,0.071357,0.042173,0.14661,0.017822,0.036441,0.58415,0.044593,0.054715,0.023637000000000002,-0.0017169000000000002,0.012596,0.082704,0.009612200000000001,0.015879,0.0017417,0.02793,0.021946,0.020222,0.10705,0.023637000000000002,0.7064,0.052274,0.055804999999999993,0.014918,-0.092939,0.032639999999999995
DM1,0.018326,0.1752,0.59214,0.29061,0.043612,-0.048705,-0.02035,0.062651,-0.011541,0.013428,0.040332,0.13871,0.048659,-0.013349000000000001,0.043078,-0.050677,0.60998,0.4751,0.29641,-0.022668999999999998,0.027270999999999997,0.05442999999999999,0.18332,0.015627000000000002,0.045469,0.25523
DL3,-0.006736399999999999,0.021421,0.0033067,0.041783,0.10438,0.17454,-0.006736399999999999,0.036361000000000004,-0.049818,-0.08530399999999999,-0.014981999999999999,-0.020749,-0.03934,0.028485000000000003,-0.00098733,0.006574600000000001,-0.004428100000000001,-0.021243,0.089986,0.045704,-0.012095,0.11782000000000001,0.031493,-0.051261,-0.018751,0.09727999999999999
DL1,0.009623200000000002,0.019438999999999998,0.033549,0.0031631,0.016279,0.22555999999999998,0.039374,0.11807000000000001,0.13067,0.2361,0.019391,0.007374299999999999,0.22207,0.11729,-0.0055422,0.036181,0.026008999999999997,0.024788,0.08479,0.16685,0.018793,-0.01365,0.41947,0.75342,0.072905,0.030151
VL2a,0.0031631,0.098103,0.10500999999999999,-0.045468,0.049232,0.27095,0.053746,0.06966699999999999,0.078341,-0.063539,0.074783,0.0456,0.037526,0.08679500000000001,0.010833,-0.0026768,-0.025509,0.038843,0.016188,0.043886,0.019104,0.016143,0.060115999999999996,0.13045,-0.01365,-0.051460000000000006
VM4,0.0090178,0.11729,0.21206,-0.0063583,0.063537,0.24249,0.17051,0.078341,0.032494999999999996,-0.06890800000000001,0.079595,0.028485000000000003,0.025113,-0.042566,0.01099,0.012596,-0.015182,0.0433,0.02858,0.044927999999999996,0.014594,-0.006208600000000001,0.062712,0.077517,-0.019213,-0.016728
VM5d,0.12847999999999998,0.59162,0.50815,0.30489,0.64835,0.66098,0.12230999999999999,0.6762699999999999,0.079718,0.37096,0.3666,0.59587,0.06966699999999999,0.068966,0.049232,0.029581,0.062712,0.20879,0.19801,0.047344,0.061876,0.053155999999999995,0.3371,0.0094483,-0.03898,0.55671
DM2,0.27043,0.17338,0.39386,0.16047,0.26166999999999996,-0.0083181,0.091059,0.33734000000000003,0.25377,0.13829,0.065697,0.054942,0.098103,0.18179,-0.080453,0.1106,0.18126,0.40185,0.14569000000000001,0.30793000000000004,-0.007433100000000001,0.30279,0.47865,0.025563,-0.0096674,0.45696000000000003
VL1,0.014278,0.13919,0.20367000000000002,-0.0023577,0.07800399999999999,0.25523,0.08755800000000001,0.089902,0.047256,-0.06690499999999999,0.08472400000000001,0.053696,0.031542,0.02016,0.009736,0.0036796999999999997,-0.018417,0.045284,0.024846,0.047441000000000004,0.015121,0.004374,0.074783,0.078341,-0.015182,0.0023577
DM3,-0.017186,0.038715,0.03574,0.031635,0.44828,0.25066,0.6844600000000001,0.21335,-0.0015180999999999999,0.02314,0.021632,0.11782000000000001,0.016075,-0.014633000000000002,-0.011634,-0.019213,0.098705,0.040966,0.14099,-0.0015180999999999999,0.041915,0.069659,0.29307,0.014302,-0.045988,0.92499
DM4,0.08432100000000001,0.0456,0.11613,0.31767,0.043602999999999996,0.18804,0.037635,0.022353,0.030539,0.01444,0.016188,0.08769099999999999,0.004374,0.049597,-0.007746300000000001,0.021262,0.58095,0.096263,0.32348000000000005,0.022353,0.037813,0.08116699999999999,0.07774600000000001,-0.0022853,0.13067,0.10479000000000001
DM6,0.1251,0.27956,0.27095,0.1349,0.32261999999999996,0.44285,0.098887,0.3193,0.37032,-0.12358,0.21223000000000003,0.21206,0.44533,0.2398,-6.6901e-05,-0.0049254,0.059248,0.30577,0.07442,0.09171699999999999,0.016094999999999998,0.096932,0.33558000000000004,0.038843,-0.030805000000000003,0.37435
DL4,0.082275,0.2055,0.18229,0.057775,0.15387,0.30489,0.12165999999999999,0.08479,0.076066,-0.071287,0.096856,0.17495,0.12934,0.063537,0.021421,0.0075095,0.041785,0.07305199999999999,0.23901,0.040966,-0.014822,0.0075095,0.079595,0.018482,-0.009659399999999999,0.10340999999999999
VC3l,0.013428,0.26334,0.40778000000000003,0.11974000000000001,0.12544,0.23847,0.022353,0.33121,0.033704000000000005,0.27956,0.14569000000000001,0.45106,0.083311,0.037635,0.018013,-0.016728,0.054588,0.18332,0.06672,0.048129000000000005,-0.011634,0.049597,0.163,0.058316999999999994,-0.024927,0.11149
DC3,0.078341,0.078341,0.15207,0.078341,0.12442,0.092166,-0.032257999999999995,0.046083,0.078341,0.58095,0.17051,0.59587,0.19816,0.0,0.15207,0.0,0.23041,0.059908,-0.00082903,0.0,0.24424,0.059908,0.013825,-0.013825,0.046083,0.013825
VM7d,0.22830999999999999,0.39647,0.90725,0.61631,0.4591,0.15016,0.27353,0.094125,0.060638,-0.016341,0.51483,0.63567,0.055702999999999996,-0.030805000000000003,0.17123,-0.042476,0.7228600000000001,0.7387,0.64835,0.016506,0.062918,0.027270999999999997,0.27353,0.031542,0.13416,0.099768
V,0.069117,-0.06690499999999999,-0.014241,-0.009659399999999999,0.017108,0.12934,0.032639999999999995,-0.011516,0.021653,0.06192,0.017283,0.096856,0.083312,0.006965300000000001,0.17765999999999998,-0.011516,0.037526,0.03574,0.010714,0.0090178,0.025240000000000002,-0.021411000000000003,0.016909999999999998,0.023069,0.00098154,0.13413
VL2p,0.0075095,0.10340999999999999,0.20412,-0.039844,0.072364,0.23696,0.31351,0.071292,0.024962,-0.072072,0.07774600000000001,0.0075095,0.023637000000000002,-0.10325999999999999,0.014302,0.017149,-0.0043729,0.039758999999999996,0.029942,0.038831,0.016638,-0.014241,0.06287100000000001,0.073111,-0.021242,-0.009338200000000001
VM1,0.0060571999999999996,0.10479000000000001,0.21743,0.0052116,0.062651,0.23656999999999997,0.17752,0.07639299999999999,0.025240000000000002,-0.067914,0.080814,0.024824000000000002,0.024824000000000002,-0.060527,0.0094483,0.014653999999999999,-0.018751,0.041423,0.029516000000000004,0.046083,0.011441,-0.013666,0.060115999999999996,0.075558,-0.020998,-0.026444
VC3m,0.013713999999999999,0.26938,0.4155,0.12230999999999999,0.12578,0.2398,0.023069,0.33234,0.034383,0.27965999999999996,0.14619000000000001,0.45696000000000003,0.083312,0.037734,0.018476,-0.016627,0.054715,0.18347,0.066909,0.048129000000000005,-0.011541,0.049706,0.16305,0.058426,-0.023658000000000002,0.11229000000000001
DC1,0.10189,0.25184,0.18483,0.041314,0.27549,0.34110999999999997,-0.016627,0.37379,-0.048293,-0.021138999999999998,0.059627,0.18347,0.053405999999999995,0.015121,0.062519,-0.021208,-0.00045216,0.11974000000000001,0.04395,-0.08025700000000001,0.013904,0.11149,0.23847,0.014594,0.031654,0.26938
DL5,0.29531,0.1394,0.31871,0.163,0.047699,0.18126,0.080814,0.03197,0.060115999999999996,0.047441000000000004,0.82494,0.40231,0.55086,0.092657,0.038173,0.10500999999999999,0.054588,0.045284,0.09389600000000001,0.060115999999999996,0.049436,0.019104,0.033424,0.053696,0.074411,0.054652
D,0.36634,0.74079,0.26014,0.07309600000000001,0.34736,0.44687,0.0034103000000000002,0.74079,0.6351399999999999,0.58415,0.27671999999999997,0.47818999999999995,0.14619000000000001,0.48311000000000004,0.22359,-0.03934,0.024584,0.22207,0.095374,0.32647,0.38022,0.5086,0.52685,0.5445300000000001,0.29146,0.44568
DP1m,0.056652999999999995,0.39647,0.55671,0.54943,0.1752,0.20879,-0.064722,0.37974,0.016075,-0.0043729,0.3132,0.6228,0.044593,0.21743,0.0017417,0.0058373,0.03298,0.39386,0.09319,0.25377,-0.021411000000000003,0.015627000000000002,0.087173,0.017283,-0.0022853,0.061328999999999995
VM5v,0.029516000000000004,0.44285,0.23285,0.080807,0.6228,0.50527,0.085122,0.59214,0.08472400000000001,0.08472400000000001,0.0827,0.44235,0.12825,0.058426,0.06672,0.0085751,0.035544,0.25469,0.20412,0.08472400000000001,0.19186,0.24249,0.6392100000000001,0.033704000000000005,-0.029105000000000002,0.63567
DA3,0.17752,0.19796,0.24793,0.068137,0.14104,0.22555999999999998,-0.004292600000000001,0.24106999999999998,0.0,0.31767,0.18799000000000002,0.16526,-0.010731000000000001,-0.0064389,0.14407,0.013125,0.010027,0.044496,0.035399,0.10880999999999999,0.013319999999999999,0.004292600000000001,0.098525,0.005193199999999999,-0.039844,0.11256
VC4,0.07639299999999999,0.17454,0.4155,0.074934,0.065981,0.3913,0.059573,0.048129000000000005,0.048129000000000005,0.048129000000000005,0.12578,0.40936999999999996,0.014278,0.037734,0.014653999999999999,0.039758999999999996,0.05712999999999999,0.40778000000000003,0.4817,0.048129000000000005,0.016143,-0.005135100000000001,0.060921,0.024012000000000002,-0.034442,0.049392
DA2,0.0038155000000000003,-0.021644999999999998,0.16685,-0.013581999999999999,-0.02706,0.24100000000000002,-0.08025700000000001,0.24106999999999998,0.27432,-0.050677,0.23814000000000002,0.25066,-0.041905,-0.03898,-0.045988,0.13522,0.010833,0.12449,0.23842,0.24909,-0.027054,-0.039382,0.24019000000000001,0.021653,-0.042476,0.24106999999999998
VA7m,0.013825,0.26965,0.41947,0.12333,0.12825,0.24019000000000001,0.02314,0.33629000000000003,0.035544,0.29146,0.14661,0.46765,0.08432100000000001,0.038028,0.018482,-0.015719,0.054942,0.18561,0.068137,0.048129000000000005,-0.011516,0.052274,0.16526,0.059248,-0.022668999999999998,0.11256
VA3,0.52685,0.74143,0.70133,0.16671,0.54708,0.29641,0.82494,0.12333,0.8755700000000001,0.029358999999999996,0.42717,0.90725,0.69465,0.14099,0.29428000000000004,-0.080453,0.07800399999999999,0.016638,0.31871,0.20048,0.049706,0.08416,0.097263,0.026716000000000004,0.061459,0.36634
DP1l,0.029358999999999996,0.27671999999999997,0.51985,0.53037,0.071298,0.18804,-0.051460000000000006,0.29803,-0.013349000000000001,-0.0017977,0.23285,0.50836,0.029942,0.13985999999999998,-0.0022892,0.010556,-0.038733,0.24424,0.074414,0.27616999999999997,-0.033875,-0.014058000000000001,0.041915,0.030539,-0.0057838,-0.049818
DC4,0.29531,0.61631,0.54708,0.66098,0.48311000000000004,0.34110999999999997,-0.097763,0.5445300000000001,0.5086,0.082275,0.47865,0.94975,0.25428,0.94975,0.024678,-0.042566,0.278,0.7387,0.098579,0.24909,-0.004428100000000001,0.47818999999999995,0.40149,0.017108,0.041061,0.27068000000000003
VC2,0.024678,0.11847,0.039374,0.019073,0.044927999999999996,0.35056,0.038831,0.0095585,0.083311,0.6402100000000001,0.0060571999999999996,0.32024,0.025123,0.024584,-0.00082903,0.019438999999999998,0.0078566,0.045704,0.021262,0.009736,-0.0083874,-0.018813,0.028612000000000002,0.46765,0.030151,0.029911
VA4,0.031493,0.6392100000000001,0.44235,0.094125,0.50836,0.3741,0.1921,0.3685,0.089986,-0.015424,0.076066,0.68879,0.095374,0.061328999999999995,-0.0012055999999999998,-0.033213,0.089902,0.06287100000000001,0.1921,0.041783,0.034383,0.080807,0.3132,0.00098154,-0.00023402,0.7064
DC2,0.21556999999999998,0.51985,0.75342,0.15016,0.26334,0.33629000000000003,0.11098,0.5786,0.077615,0.019372,0.35084,0.3741,0.024962,0.30464,0.041061,0.031654,0.07631,0.10880999999999999,0.059908,0.20299,0.11562,0.33121,0.14615999999999998,0.069659,0.12644,0.39469
VM7v,0.0079029,0.13985999999999998,0.38022,0.098705,0.14396,0.15207,-0.0015180999999999999,0.20367000000000002,-0.005135100000000001,0.00091788,0.0036796999999999997,0.34886999999999996,0.017149,0.031654,0.0433,0.0034103000000000002,0.072364,0.31351,0.13413,0.0082786,-0.006208600000000001,0.026008999999999997,0.09319,0.0,-0.007746300000000001,0.13665
DM5,0.0096478,0.23656999999999997,0.32348000000000005,0.0047381,0.0038155000000000003,0.23041,0.018013,0.036257,0.014037,-0.00023402,0.015997,0.30279,0.005306399999999999,0.0046265,-0.0027133,-0.039663,0.023223,0.27616999999999997,0.092657,0.073961,0.00064147,-0.0016268,0.031654,0.0012689,-0.0027133,0.013713999999999999
DL2v,-0.021411000000000003,0.11229000000000001,0.04755,0.1921,0.024824000000000002,0.058316999999999994,-0.05753099999999999,-0.014981999999999999,-0.027054,-0.0072336,0.18804,0.024824000000000002,0.037630000000000004,0.29803,-0.013666,-0.004292600000000001,-0.019213,0.0034103000000000002,0.0047381,0.19801,-0.015719,0.036361000000000004,0.0020814,0.099768,0.14897,-0.023658000000000002
VM3,0.27764,0.27148,0.39111,0.26871999999999996,0.27965999999999996,0.37379,0.26261,0.35084,0.3685,-0.15747,0.12494000000000001,0.37974,0.22759000000000001,0.34886999999999996,0.074414,0.075558,0.16305,0.32024,0.21555,0.21335,0.025147,0.13919,0.35083000000000003,0.041423,-0.020749,0.24151999999999998
VC1,0.013904,0.27068000000000003,0.42717,0.12449,0.12829000000000002,0.24106999999999998,0.023637000000000002,0.3371,0.035715,0.29307,0.14897,0.4751,0.08472400000000001,0.038173,0.019073,-0.015719,0.055804999999999993,0.18574000000000002,0.068966,0.048659,-0.010731000000000001,0.053155999999999995,0.1666,0.059627,-0.022113,0.11562
VA5,0.035715,0.025113,0.08755800000000001,0.031169,0.010714,0.21555,0.019516,0.029942,0.029942,0.4307,-0.0072336,0.073111,0.087173,0.024846,0.0027039,0.01099,0.011441,-0.0022892,0.066909,0.029942,-0.00098733,0.0058373,0.026661,0.049793000000000004,0.009612200000000001,0.02163
DL2d,-0.021411000000000003,0.11229000000000001,0.04755,0.1921,0.024824000000000002,0.058316999999999994,-0.055917999999999995,-0.014633000000000002,-0.026444,-0.006736399999999999,0.18804,0.024824000000000002,0.037630000000000004,0.29803,-0.013666,-0.0042102,-0.019213,0.0034103000000000002,0.005193199999999999,0.19816,-0.015719,0.036361000000000004,0.0027039,0.1008,0.14897,-0.023658000000000002
VA7l,-0.014588999999999998,-0.018147,0.027542,0.020177,-0.083142,0.13871,-0.08586,-0.097763,-0.018417,0.50527,-0.067101,0.033424,0.047577999999999995,0.025147,-0.08586,0.026661,-0.072072,-0.0017169000000000002,0.021632,0.060921,0.011426,0.015997,-0.063908,0.04755,-0.013825,-0.0015180999999999999
DA4l,-0.0045867,0.45106,0.26014,0.038028,0.14215,0.32261999999999996,0.017509999999999998,0.6844600000000001,0.22759000000000001,0.92499,0.1666,0.32550999999999997,0.13416,-0.034442,0.37032,-0.034442,-0.0083181,0.09123099999999999,0.029911,0.09123099999999999,-0.035128,-0.014058000000000001,0.06805,0.071298,0.009623200000000002,0.053746
DA4m,0.078044,0.1008,0.09171699999999999,0.011754,0.12829000000000002,0.17338,0.020177,0.13252,-0.0049254,-0.029105000000000002,0.03573,0.074783,0.006965300000000001,0.027542,0.074411,0.010556,-0.0017977,0.024869,0.10329,0.096932,0.0035741999999999996,0.074783,0.18561,0.010501,-0.0064389,0.13045
VM2,0.32261999999999996,0.33234,0.44568,0.25428,0.26965,0.27432,0.18574000000000002,0.20048,0.34343,0.16343,0.31664000000000003,0.34343,0.13665,0.098579,0.069918,0.047256,0.47744,0.70133,0.3913,-0.017186,0.054363999999999996,0.071292,0.40149,0.047807999999999996,0.004292600000000001,0.35056
